,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
0,SH601229,0.07367206514096741,0.9230769230769231,,,,SH601229,上海银行,2026-08-17,0.0031914816,0.013829781,0.23076876,0.005319192,0.38461867,0.005319108,0.38461256,0.003191397,0.23076266,0.99681866,1.0053023,0.9915165,1.0001996,0.9831956,1.015978,0.9842976,0.9597796,0.9402204,0.989697,0.9878237,0.9872865,0.97828287,0.9651286,0.009524271,0.008601245,0.015291841,0.018972242,0.022443531,0.00584022,0.00079806306,0.0009525872,0.001576836,0.0008376294,0.9400153,0.07891567,0.13581821,0.5353496,0.42483598,-0.0013774271,0.008585012,0.0036639024,-0.0011469682,0.010161357,1.0108411,1.0193267,1.0193267,1.0193267,1.0193267,0.97365,0.9694349,0.9546132,0.93652856,0.9132752,0.99933887,0.9991736,0.99933887,0.99564743,0.9842976,0.98231405,0.98231405,0.97140497,0.962865,0.9429753,1.0,1.0,0.85,0.9,0.95,0.7085011,0.61262727,0.7013495,0.7665803,0.81776106,0.8,0.1,0.55,0.7,0.85,0.4,0.4,0.1,0.06666667,0.41666666,0.4,-0.3,0.45,0.6333333,0.43333334,0.9034311,0.658293,0.48713967,0.5535148,0.62727296,0.90973043,0.23738204,0.16125137,0.26820895,0.32193863,0.8,0.6,0.65,0.6,0.55,0.2,0.4,0.35,0.4,0.41666666,0.6,0.2,0.3,0.2,0.13333334,0.82795763,0.39338207,0.5432472,0.56899816,0.55025476,0.17204234,0.6066179,0.45675278,0.43100184,0.44974527,0.6559153,-0.21323588,0.08649446,0.13799633,0.10050947,0.8783032,0.88878155,0.9916164,0.95114255,0.84298784,0.2681777,0.21722572,0.26870596,0.25022355,0.23059186,1.1509545,0.89042526,0.9886442,0.88969654,0.8891463,0.5696082,0.4809936,0.4794301,0.51899135,0.52211726,0.4303918,0.5190064,0.52056986,0.48100862,0.47788277,0.13921644,-0.038012784,-0.041139778,0.03798274,0.044234466
1,SH600926,0.06308627509337485,1.0,,,,SH600926,杭州银行,2026-08-17,0.0012323115,0.008626066,0.14285903,0.0073937546,0.85714096,0.0,0.0,-0.0061614434,-0.7142819,0.9987692,1.0073847,0.9987692,1.0030007,0.99077916,1.0099124,0.9693407,0.94398344,0.97118485,0.9928539,0.9922314,0.98898107,0.97700936,0.9686069,0.009167379,0.0067837937,0.016271904,0.02289969,0.029167395,0.004863985,0.00060494407,0.0014347773,0.0021429476,0.00040345342,0.7037755,0.072894804,0.27211988,0.67868096,0.058356784,-0.002581822,0.005046312,-0.0026114774,-0.008082113,0.019491244,1.0092288,1.0093162,1.0179065,1.0179065,1.0179065,0.97531384,0.97531384,0.9434235,0.924996,0.8825798,1.0003688,0.9964961,1.0003688,0.99589676,0.99414474,0.9852006,0.98603046,0.97510374,0.9567082,0.9469341,0.8,0.9,0.8,0.8666667,0.8666667,0.7278842,0.72601193,0.75958896,0.8072712,0.86767924,0.8,0.1,0.4,0.6,0.8,0.6,0.8,0.1,0.13333334,0.43333334,0.2,-0.7,0.3,0.46666667,0.36666667,0.8625249,0.60825807,0.018969785,0.028267447,-0.16409174,0.88389295,0.6798663,0.20530921,0.16268654,0.056400158,0.4,0.5,0.55,0.53333336,0.5,0.6,0.5,0.45,0.43333334,0.46666667,-0.2,0.0,0.1,0.1,0.033333335,0.6369859,0.42904308,0.5930068,0.61198133,0.52364737,0.3630141,0.57095695,0.4069932,0.38801864,0.47635263,0.27397183,-0.14191386,0.1860136,0.22396271,0.04729475,0.9903126,1.070704,1.2487237,1.272526,1.3995906,0.16044545,0.17823839,0.26824263,0.27210236,0.3580274,0.9054216,0.93147063,0.79938215,0.77526045,0.82786787,0.53865594,0.30777273,0.37939867,0.47210455,0.49965551,0.46134403,0.6922273,0.62060136,0.52789545,0.50034446,0.07731191,-0.38445455,-0.24120265,-0.055790883,-0.00068896165
2,SH600795,0.04660941498300117,1.0,,,,SH600795,国电电力,2026-08-17,-0.011857649,0.015810221,-0.749999,0.0019762858,0.12500052,0.0019762858,0.12500052,-0.011857649,-0.749999,1.012,1.0139999,0.998,1.0044674,1.0040039,1.0220052,0.97600234,0.9201212,0.95117843,1.0092031,1.0060025,0.9994023,0.9781045,0.9663564,0.005587756,0.006111108,0.015261768,0.035116605,0.03769268,-0.002000648,0.0005335405,0.0015971258,0.0035516294,0.0006091109,0.32048416,0.0698725,0.38329804,0.79274213,0.079648666,-0.005201812,-0.008403504,-0.01457497,-0.02960309,0.015674861,1.0200052,1.03,1.03,1.03,1.0424159,0.998,0.99000376,0.9599998,0.90265083,0.8910031,1.0124049,1.0120052,1.0120052,1.008401,1.0040039,1.0064011,1.0,0.98480195,0.9452014,0.9232269,0.2,0.25,0.425,0.6166667,0.7416667,0.09088754,0.24992943,0.5714298,0.7644271,0.7198659,0.2,0.1,0.55,0.7,0.11666667,1.0,0.3,0.05,0.06666667,0.41666666,-0.8,-0.2,0.5,0.6333333,-0.3,0.33142778,0.12435157,-0.30994764,0.025494387,0.24462052,0.7984941,0.33226544,0.7105204,0.5465807,0.2439503,0.4,0.4,0.5,0.56666666,0.55,0.6,0.6,0.5,0.43333334,0.45,-0.2,-0.2,0.0,0.13333334,0.1,0.43746287,0.3513629,0.5576771,0.62067175,0.53608394,0.56253713,0.64863706,0.44232294,0.37932825,0.46391603,-0.12507425,-0.29727414,0.11535414,0.24134347,0.07216791,0.9991525,1.0281391,1.3430429,1.3602653,1.847992,0.060478635,0.095916435,0.43178308,0.45748335,1.0962323,0.61023206,0.5112349,1.0478067,0.9890294,1.2309946,0.60719633,0.37124962,0.36365566,0.50301975,0.48387203,0.39280367,0.6287504,0.6363443,0.49698028,0.516128,0.21439266,-0.25750077,-0.27268866,0.006039444,-0.032255966
3,SH601816,0.04640957516739353,1.0,,,,SH601816,京沪高铁,2026-08-17,-0.0040816274,0.014285696,-0.2857143,0.0020408137,0.14285715,0.008163255,0.5714286,0.0020408137,0.14285715,1.0040983,1.0061475,0.9918033,0.998876,1.0242085,1.0484171,0.9925512,0.9348231,0.9776536,1.0167598,1.0195531,1.0199255,0.9965239,0.98054004,0.0146629745,0.011621137,0.015045093,0.03740329,0.041082133,-0.009124777,-0.0022910663,0.00035003762,0.0034393694,0.00078580715,0.9681449,0.35627842,0.018945571,0.65529937,0.111590154,0.0014897755,-0.009243272,-0.023250865,-0.046394747,-0.0037213396,1.0422952,1.0514653,1.0514653,1.0514653,1.0514653,0.9918033,0.9918033,0.98532915,0.9206048,0.8911645,1.0290504,1.0290504,1.0320297,1.0283054,1.0186219,1.0029795,1.0111731,1.006704,0.9523277,0.93296087,0.2,0.1,0.1,0.4,0.56666666,0.16233689,0.13738571,0.22182758,0.6067161,0.6789454,0.4,0.1,0.55,0.7,0.85,1.0,1.0,0.1,0.13333334,0.41666666,-0.6,-0.9,0.45,0.56666666,0.43333334,0.76711214,0.515574,0.16692896,0.15359372,-0.036802422,0.23427184,-0.07817009,-0.14681208,0.03186281,0.14892451,0.2,0.3,0.45,0.53333336,0.51666665,0.8,0.7,0.5,0.43333334,0.41666666,-0.6,-0.4,-0.05,0.1,0.1,0.21739183,0.2400003,0.51886797,0.61437905,0.51886797,0.78260815,0.7599997,0.48113206,0.38562098,0.48113206,-0.5652163,-0.51999944,0.037735883,0.22875807,0.037735905,1.0084579,1.1916722,1.5436329,1.5472876,1.6701428,0.13808766,0.27653238,0.5728726,0.5688804,0.5948628,0.41684708,0.6905744,0.74506074,0.8772322,1.059851,0.28102237,0.3082433,0.40215605,0.4804037,0.49405432,0.71897763,0.6917567,0.59784395,0.51959634,0.5059457,-0.43795526,-0.3835134,-0.19568789,-0.039192628,-0.011891367
4,SH601998,0.04624460411195409,1.0,,,,SH601998,中信银行,2026-08-17,-0.0012987513,0.015584431,-0.08333646,0.007792174,0.49999732,0.006493506,0.4166662,-0.002597419,-0.16666757,1.0013005,1.0091027,0.993498,1.0002701,0.9777778,1.0271605,0.9814815,0.92839515,0.9827161,0.9934568,0.9883951,0.9947531,0.9792593,0.96440333,0.010232766,0.012555822,0.018167019,0.028617967,0.032409057,0.005740737,0.0013991732,4.826777e-05,0.002276054,0.0008481436,0.786845,0.11383193,0.00024706725,0.49021798,0.2088843,-0.004938276,0.005308638,0.0047883433,-0.012262068,0.010576443,1.0142376,1.0256724,1.0334642,1.0334642,1.0334642,0.9700666,0.96065354,0.9500627,0.9098079,0.8905443,1.0002469,1.0002469,1.0079013,1.00321,0.99419755,0.98617285,0.9777778,0.9777778,0.9540741,0.9345679,0.7,0.75,0.575,0.71666664,0.85,0.6776699,0.60515475,0.5987583,0.72937757,0.76585376,0.8,0.1,0.4,0.6,0.8,0.4,0.4,0.1,0.06666667,0.45,0.4,-0.3,0.3,0.53333336,0.35,0.7979132,-0.0913443,0.15894365,0.029229056,-0.18646201,0.76969975,0.10752943,-0.05345109,0.2717399,0.31933823,0.6,0.4,0.55,0.56666666,0.51666665,0.2,0.4,0.35,0.33333334,0.41666666,0.4,0.0,0.2,0.23333333,0.1,0.949999,0.3493151,0.54934204,0.6223626,0.5126811,0.050001018,0.6506849,0.45065796,0.37763736,0.4873189,0.89999795,-0.3013698,0.09868405,0.24472527,0.02536222,1.0637273,1.258273,1.5137284,1.5714679,1.8045545,0.13177356,0.24555705,0.4049534,0.38922554,0.5208032,1.1655731,1.0802273,0.8534634,0.9923031,1.1372416,0.28283134,0.34106168,0.38681516,0.4594015,0.49131384,0.7171687,0.6589383,0.6131848,0.5405985,0.5086861,-0.43433735,-0.31787664,-0.22636966,-0.08119701,-0.0173723
5,SH601825,0.046104005930013583,0.9230769230769231,,,,SH601825,沪农商行,2026-08-17,-0.0034681591,0.01965312,-0.17646864,0.0138728535,0.7058856,0.002312106,0.11764576,-0.015028907,-0.76470846,1.0034802,1.0174013,0.9976798,1.0071133,0.95559347,1.0162253,0.9615713,0.90691715,0.97352684,0.98240817,0.976345,0.97493595,0.9558212,0.95183605,0.02103611,0.018240487,0.021379406,0.034554772,0.038279068,0.012467967,0.002303135,0.001400383,0.0031787858,0.00015821797,0.87821406,0.14614278,0.1501656,0.6558556,0.0052106124,-0.007344122,0.013290906,0.011760422,-0.0019136152,0.043496545,1.0266163,1.0266163,1.0266163,1.0266163,1.0266163,0.9496702,0.9496702,0.9367999,0.8846515,0.85335314,1.0006832,0.99521774,0.9965841,0.98923993,0.98855674,0.96157134,0.96088815,0.95559347,0.9250213,0.9156276,0.8,0.9,0.85,0.9,0.9,0.6540916,0.6540916,0.7036588,0.81251484,0.84638226,0.8,0.9,0.95,0.96666664,0.98333335,0.4,0.7,0.05,0.13333334,0.45,0.4,0.2,0.9,0.8333333,0.53333336,0.97068185,0.84511864,0.7020501,0.5449558,-0.00025506073,0.8925056,0.6580395,0.6407717,0.5915308,0.33936036,0.8,0.4,0.45,0.46666667,0.46666667,0.2,0.6,0.55,0.5,0.5,0.6,-0.2,-0.1,-0.033333335,-0.033333335,0.9333339,0.42748117,0.5824177,0.6359103,0.5178778,0.0666661,0.5725188,0.41758227,0.3640897,0.4821222,0.8666678,-0.14503767,0.16483544,0.2718206,0.035755586,0.8677175,0.77948,0.8531872,0.8119915,0.74428564,0.40808028,0.2946679,0.31285766,0.28189248,0.25135943,1.0709109,0.9448369,1.1486107,1.1688454,1.1092143,0.62575084,0.43070775,0.48549858,0.5052347,0.5247413,0.37424913,0.56929225,0.5145014,0.49476528,0.47525874,0.25150174,-0.1385845,-0.02900284,0.010469419,0.049482524
6,SH601916,0.04031971449592644,0.8461538461538461,,,,SH601916,浙商银行,2026-08-17,-0.0034246289,0.013698656,-0.24999744,0.0034246992,0.25000256,0.006849328,0.5,0.0,0.0,1.0034364,1.0068729,0.9931271,0.99945366,1.0,1.0522565,0.9904988,0.976247,0.976247,1.0014251,1.0049881,1.0061758,0.99105304,0.9876484,0.0059619527,0.009790407,0.0201904,0.029182695,0.030035207,0.0021377688,-0.0016555112,0.00070723187,0.0024260264,0.00024076368,0.32142857,0.26210436,0.04294394,0.53560174,0.019598396,-0.005700717,0.0024616732,-0.012894476,-0.02623043,0.0052490146,1.0140004,1.0525823,1.0525823,1.0525823,1.0525823,0.98943853,0.98943853,0.96488726,0.92424464,0.8941043,1.0071259,1.0076009,1.0171021,1.0076009,1.0095012,0.9985748,0.99952495,0.99239904,0.9667458,0.9667458,0.5,0.4,0.45,0.6333333,0.59166664,0.42999318,0.16726062,0.40039623,0.5902819,0.66820467,0.6,0.1,0.55,0.7,0.85,0.2,0.6,0.1,0.1,0.45,0.4,-0.5,0.45,0.6,0.4,-0.09115203,0.6046394,0.6142286,0.29346052,0.0978337,0.12886809,0.13965333,0.44164476,0.45536762,0.22607954,0.4,0.3,0.55,0.53333336,0.46666667,0.4,0.6,0.4,0.4,0.4,0.0,-0.3,0.15,0.13333334,0.06666667,0.5,0.19444461,0.525641,0.53676474,0.5183824,0.5,0.8055554,0.47435895,0.46323526,0.48161763,0.0,-0.6111108,0.05128209,0.073529474,0.03676473,0.95988935,1.2057549,1.382488,1.4197053,1.4344059,0.077043235,0.31928435,0.4061474,0.37528804,0.39581436,0.5620639,1.0983611,0.9286669,0.85833377,1.0990105,0.44526526,0.18275346,0.39083865,0.43033287,0.5098861,0.5547347,0.81724656,0.6091613,0.5696671,0.4901139,-0.10946946,-0.63449305,-0.21832268,-0.13933423,0.019772189
7,SH600919,0.03952264174120204,0.8461538461538461,,,,SH600919,江苏银行,2026-08-17,-0.0034305835,0.01629492,-0.21053086,0.005145713,0.31578633,0.0077186236,0.47368282,-0.0008576729,-0.052634373,1.0034424,1.0086058,0.9922548,0.99962616,1.0161291,1.0060483,0.99042344,0.9611895,0.9385081,1.0049396,1.0036291,1.0002269,0.990121,0.9727319,0.00406989,0.008359452,0.0118854325,0.018555049,0.026752397,-0.002268151,0.00086754264,0.0011372931,0.00178581,0.0010360462,0.77645916,0.098727345,0.32046667,0.7178737,0.4574385,-0.0004032167,-0.00753299,-0.011031112,-0.016015226,-0.0032952284,1.0239962,1.0239962,1.0239962,1.0239962,1.0239962,0.9922548,0.9829482,0.9619182,0.94499874,0.9062412,1.0070565,1.0110887,1.0110887,1.0060483,1.0,1.0028226,0.9995968,0.9919355,0.97227824,0.94576615,0.2,0.35,0.5,0.6666667,0.81666666,0.24400875,0.41541052,0.61345035,0.6962402,0.7962189,0.2,0.6,0.8,0.8666667,0.93333334,1.0,0.1,0.1,0.033333335,0.43333334,-0.8,0.5,0.7,0.8333333,0.5,-0.36735925,-0.15151307,-0.025735214,-0.13472357,-0.20364982,0.28032267,0.28985497,0.1474817,0.05786794,0.109288186,0.2,0.4,0.55,0.6,0.56666666,0.8,0.6,0.45,0.4,0.41666666,-0.6,-0.2,0.1,0.2,0.15,0.09999785,0.46703315,0.5267605,0.5725048,0.5521368,0.9000022,0.53296685,0.47323948,0.4274952,0.44786325,-0.8000043,-0.06593373,0.053521026,0.1450096,0.10427351,0.7162058,0.89743686,1.0174649,1.0543002,1.1073916,0.1670591,0.2316539,0.2768354,0.25976178,0.22263764,0.47585952,0.8081452,0.7406807,0.7114957,0.78632426,0.40894207,0.423903,0.46747708,0.48976228,0.4930048,0.5910579,0.576097,0.5325229,0.5102377,0.5069952,-0.18211584,-0.15219404,-0.06504581,-0.020475445,-0.013990408
8,SH600028,0.03781473672784987,0.9230769230769231,,,,SH600028,中国石化,2026-08-17,0.0019999663,0.010000011,0.19999643,0.004000022,0.4000018,0.004000022,0.4000018,0.0019999663,0.19999643,0.998004,1.0039921,0.994012,0.9996544,1.021879,1.0540541,1.0459031,0.96224797,0.968254,1.0044616,1.0088375,1.0232732,1.0108538,0.9757901,0.009911677,0.010934046,0.018173732,0.028489472,0.043137398,-0.0050622066,-0.001554801,-0.0020079177,0.001384349,0.0017973195,0.65211695,0.18535289,0.42723975,0.1829886,0.52947146,0.0056628096,-0.0018408024,-0.0041980674,-0.030926783,-0.02881102,1.0401272,1.051952,1.0640357,1.0640357,1.0640357,0.98588073,0.98588073,0.98588073,0.93600476,0.8840962,1.0105535,1.018447,1.0360361,1.0343201,1.0205063,0.9975118,0.9975118,1.0065209,0.99570996,0.9396826,0.6,0.4,0.2,0.33333334,0.6666667,0.2602801,0.21369745,0.18065728,0.49984223,0.64412665,0.2,0.1,0.5,0.6666667,0.8333333,0.8,0.9,0.95,0.033333335,0.45,-0.6,-0.8,-0.45,0.6333333,0.38333333,0.50797355,0.23519742,0.36336812,0.16314963,-0.074428886,-0.29452333,-0.5503876,-0.13624907,0.33481982,0.31279856,0.4,0.5,0.5,0.5,0.48333332,0.6,0.5,0.45,0.43333334,0.48333332,-0.2,0.0,0.05,0.06666667,0.0,0.13043517,0.27007306,0.3844494,0.55655515,0.5228113,0.86956483,0.72992694,0.61555064,0.44344485,0.4771887,-0.73912966,-0.4598539,-0.23110123,0.11311031,0.045622595,1.2746223,1.5884454,1.7666317,1.9321202,2.0455074,0.23655511,0.47746092,0.4760975,0.6228198,0.5814484,0.97343004,1.2230308,1.2097967,1.3763491,1.1043671,0.28947127,0.40930572,0.30909526,0.4584417,0.48226827,0.71052873,0.59069425,0.69090474,0.5415583,0.5177317,-0.4210575,-0.18138854,-0.38180947,-0.08311662,-0.035463475
9,SH600900,0.037071491085699425,0.7692307692307693,,,,SH600900,长江电力,2026-08-17,-0.004273484,0.008547076,-0.4999937,0.0024929105,0.29166824,0.0017806811,0.20833805,-0.0049857134,-0.5833239,1.0042918,1.0067954,0.9982117,1.0003883,1.0032092,1.0389694,1.0364937,0.9452595,0.92334497,1.005905,1.0022649,1.0190812,1.0079528,0.9772419,0.0052443705,0.007846261,0.019453721,0.025984304,0.038109954,-0.0022097782,0.00061517284,-0.0022789424,0.0010651032,0.0015330636,0.44386473,0.056348212,0.48031852,0.13021559,0.4935638,-0.0014854347,-0.0050330805,0.002568715,-0.023396801,-0.022467254,1.015689,1.0378531,1.057549,1.057549,1.057549,0.99425805,0.9838976,0.9838976,0.9403551,0.9090805,1.0104896,1.0104163,1.039116,1.0353199,1.0121768,1.0016872,0.99277467,1.0016872,0.9915826,0.9400513,0.2,0.4,0.2,0.4,0.7,0.26792884,0.29843813,0.21862967,0.5089421,0.6123825,0.2,0.1,0.35,0.56666666,0.78333336,0.6,0.4,0.7,0.033333335,0.4,-0.4,-0.3,-0.35,0.53333336,0.38333333,0.7528882,-0.12255849,0.5007385,0.12753731,0.20451596,0.60169536,-0.26780567,-0.033870157,0.13821077,0.22337443,0.4,0.3,0.3,0.46666667,0.51666665,0.6,0.6,0.65,0.5,0.46666667,-0.2,-0.3,-0.35,-0.033333335,0.05,0.45721212,0.2942884,0.4130245,0.5815351,0.56622314,0.5427879,0.7057116,0.5869755,0.4184649,0.43377686,-0.08557578,-0.41142318,-0.17395103,0.16307023,0.1324463,1.0705152,1.3870035,1.7096432,1.8853378,1.7753118,0.21445978,0.4319583,0.6232185,0.6504616,0.5570543,0.43546,1.1593976,0.9294153,0.9945921,1.0298735,0.15344515,0.43285945,0.37532339,0.4905777,0.49519888,0.8465548,0.5671405,0.6246766,0.5094223,0.5048011,-0.6931097,-0.13428108,-0.24935323,-0.018844606,-0.009602242
